#year,locid,itn_ga,itn_mil,itn_ac,itn_at
2013,8D7,120,0,0,2
2013,8D9,36,0,0,0
2013,8F6,120,0,0,0
2013,8G2,1207,20,0,0
2013,8G6,1768,50,0,400
2013,8K8,500,0,0,0
2013,8K9,0,0,0,0
2013,8M1,7100,1200,0,0
2013,8S1,5000,50,0,200
2013,8S2,2500,0,0,150
2013,8U6,300,0,0,100
2013,8U8,2000,1000,0,100
2013,8V2,900,0,0,0
2013,8V3,200,0,0,0
2013,8WC,800,10,0,30
2013,91C,2500,300,0,50
2013,91F,100,0,0,0
2013,93B,350,0,0,0
2013,93C,4000,100,0,100
2013,93F,200,0,0,0
2013,93Y,500,200,0,0
2013,94K,1875,0,0,50
2013,95F,500,100,0,0
2013,96D,800,10,0,100
2013,96Z,50,0,0,300
2013,97M,1500,0,0,76
2013,98D,500,0,0,0
2013,99N,2000,0,0,0
2013,99Y,100,0,0,0
2013,9A3,0,0,0,0
2013,9A4,9900,1000,0,0
2013,9A5,3500,100,0,0
2013,9A8,250,0,0,700
2013,9C8,724,0,0,0
2013,9D0,240,0,0,0
2013,9D1,2800,0,0,12
2013,9D2,120,0,0,0
2013,9D7,900,0,0,50
2013,9D9,9500,1500,0,0
2013,9F8,72,0,0,0
2013,9G0,20000,0,0,0
2013,9G3,10000,0,0,900
2013,9G5,1000,100,0,0
2013,9G8,1005,1000,0,0
2013,9I0,80,0,0,0
2013,9I3,1300,10,0,100
2013,9K2,0,0,0,0
2013,9K7,6000,75,0,0
2013,9K8,3800,0,0,0
2013,9M4,400,0,0,0
2013,9M6,5000,0,0,0
2013,9M8,5216,400,0,0
2013,9S2,1050,0,0,400
2013,9S4,1000,0,0,0
2013,9S5,1530,1000,0,7300
2013,9S7,250,0,0,0
2013,9S9,1015,12,0,20
2013,9U0,400,0,0,200
2013,9V5,1500,0,0,0
2013,9V6,160,0,0,0
2013,9V9,1900,6,0,12
2013,9Z8,750,0,0,512
2013,A08,7700,0,0,0
2013,A14,0,0,0,700
2013,A29,250,0,0,4000
2013,A30,5000,0,0,104
2013,A32,2000,0,0,0
2013,A39,0,0,0,0
2013,A61,0,0,0,340
2013,A63,250,0,0,1650
2013,A79,200,0,0,500
2013,AAA,2800,100,0,1300
2013,AAF,8000,147,0,1228
2013,AAO,19000,0,0,1300
2013,AAS,4730,870,0,1410
2013,AAT,11000,0,0,750
2013,ABE,31145,515,3976,14097
2013,ABI,22499,5029,207,10616
2013,ABO,0,290,0,0
2013,ABQ,26901,16875,56279,29276
2013,ABR,30456,105,2200,6092
2013,ABY,9946,1195,14,2798
2013,ACB,3638,0,0,0
2013,ACJ,2000,100,0,0
2013,ACK,34985,1337,748,93365
2013,ACP,3000,1500,0,0
2013,ACQ,1600,0,0,0
2013,ACT,21346,3815,178,4498
2013,ACV,5754,25750,2190,9754
2013,ACY,20184,18468,8183,5785
2013,ACZ,10000,1200,0,200
2013,ADC,1404,6,0,0
2013,ADF,6000,200,0,200
2013,ADG,4075,0,0,0
2013,ADH,8000,100,0,0
2013,ADK,100,28,212,0
2013,ADM,12843,3308,0,101
2013,ADQ,1666,4359,1391,18074
2013,ADS,78820,339,89,10629
2013,ADT,4000,0,0,0
2013,ADU,318,0,0,0
2013,ADW,2612,31827,623,469
2013,AEG,25625,1611,0,1762
2013,AEJ,2507,58,0,0
2013,AEL,6775,300,0,2000
2013,AEX,3510,5417,2115,8390
2013,AFE,0,0,0,4600
2013,AFJ,10048,50,0,8038
2013,AFK,1850,350,0,0
2013,AFM,0,0,0,5000
2013,AFN,4900,100,0,900
2013,AFO,4200,0,0,300
2013,AFP,4000,200,0,0
2013,AFW,36097,9314,6269,3840
2013,AGC,28609,384,11,18316
2013,AGN,150,0,0,1000
